,features,labels
2388,"[2, 6188, 85, 83]",c
2389,"[0, 2015, 24, 4]",a
2390,"[0, 2240, 95, 59]",c
2391,"[0, 4452, 84, 62]",b
2392,"[2, 637, 10, 8]",b
2393,"[2, 4574, 19, 96]",b
2394,"[2, 6309, 17, 74]",c
2395,"[2, 621, 98, 59]",a
2396,"[0, 1486, 91, 12]",c
2397,"[2, 4939, 70, 60]",b
2398,"[0, 7085, 3, 35]",d
2399,"[2, 751, 35, 14]",a
2400,"[0, 32, 54, 89]",a
2401,"[2, 1541, 26, 51]",a
2402,"[2, 878, 25, 1]",b
2403,"[0, 796, 63, 9]",a
2404,"[1, 2564, 26, 40]",b
2405,"[2, 6827, 14, 12]",c
2406,"[1, 6088, 12, 50]",b
2407,"[2, 2366, 6, 65]",a
2408,"[1, 5211, 66, 90]",d
2409,"[2, 7199, 4, 6]",d
2410,"[0, 5741, 35, 52]",d
2411,"[1, 7043, 59, 51]",b
2412,"[0, 2435, 82, 97]",c
2413,"[1, 5789, 13, 71]",d
2414,"[2, 3125, 68, 29]",d
2415,"[2, 6261, 49, 10]",a
2416,"[2, 3080, 85, 30]",d
2417,"[0, 6817, 37, 44]",a
2418,"[1, 3004, 12, 86]",a
2419,"[1, 5624, 27, 45]",d
2420,"[2, 4653, 31, 21]",b
2421,"[0, 3091, 40, 39]",c
2422,"[0, 5574, 46, 70]",b
2423,"[0, 6778, 51, 68]",c
2424,"[0, 4367, 86, 43]",d
2425,"[1, 597, 17, 66]",d
2426,"[1, 2811, 87, 40]",c
2427,"[1, 3716, 90, 29]",b
2428,"[1, 1933, 87, 19]",c
2429,"[0, 1306, 93, 68]",c
2430,"[1, 6849, 69, 6]",c
2431,"[2, 3896, 89, 37]",c
2432,"[1, 5305, 46, 18]",c
2433,"[1, 2643, 18, 5]",b
2434,"[1, 4347, 52, 66]",a
2435,"[1, 5363, 35, 49]",d
2436,"[0, 3817, 44, 91]",d
2437,"[0, 4285, 60, 35]",c
2438,"[2, 544, 10, 35]",c
2439,"[0, 2605, 30, 10]",b
2440,"[0, 112, 37, 11]",c
2441,"[2, 1149, 30, 44]",d
2442,"[2, 3000, 52, 9]",a
2443,"[1, 4467, 17, 14]",c
2444,"[0, 5864, 82, 98]",b
2445,"[1, 2748, 12, 52]",d
2446,"[2, 1960, 94, 45]",d
2447,"[1, 3571, 66, 20]",c
2448,"[2, 6946, 28, 50]",b
2449,"[1, 357, 23, 63]",a
2450,"[2, 1619, 31, 27]",a
2451,"[2, 3800, 6, 45]",c
2452,"[1, 7139, 26, 38]",b
2453,"[2, 333, 84, 78]",d
2454,"[2, 1890, 43, 99]",a
2455,"[2, 3965, 89, 97]",d
2456,"[1, 4019, 2, 81]",a
2457,"[0, 5160, 81, 99]",c
2458,"[2, 7146, 43, 66]",b
2459,"[0, 5849, 35, 48]",a
2460,"[2, 1800, 90, 8]",d
2461,"[0, 968, 80, 56]",d
2462,"[0, 5055, 66, 72]",c
2463,"[1, 1080, 38, 63]",a
2464,"[2, 175, 56, 43]",c
2465,"[0, 1353, 0, 90]",a
2466,"[1, 3339, 5, 40]",a
2467,"[2, 1694, 32, 73]",c
2468,"[1, 3315, 93, 36]",a
2469,"[0, 559, 11, 11]",d
2470,"[1, 6734, 63, 75]",b
2471,"[1, 3298, 82, 25]",d
2472,"[0, 2916, 34, 30]",d
2473,"[2, 4271, 42, 69]",b
2474,"[1, 7029, 65, 77]",c
2475,"[2, 1321, 54, 38]",a
2476,"[0, 435, 71, 51]",b
2477,"[0, 6134, 12, 38]",c
2478,"[0, 4782, 51, 81]",a
2479,"[1, 4988, 35, 25]",a
2480,"[2, 1425, 69, 78]",a
2481,"[1, 3257, 6, 22]",c
2482,"[2, 2182, 8, 19]",d
2483,"[2, 132, 20, 38]",c
2484,"[0, 1090, 6, 96]",d
2485,"[2, 6683, 19, 88]",b
2486,"[2, 2871, 49, 34]",b
2487,"[0, 1087, 23, 81]",b
2488,"[0, 3285, 36, 93]",d
2489,"[0, 6697, 82, 13]",c
2490,"[1, 2700, 31, 43]",c
2491,"[2, 2393, 42, 25]",c
2492,"[2, 3411, 42, 65]",a
2493,"[2, 338, 38, 16]",c
2494,"[2, 6829, 94, 97]",d
2495,"[1, 318, 61, 11]",a
2496,"[0, 2961, 50, 46]",c
2497,"[1, 4406, 88, 66]",c
2498,"[1, 6290, 25, 2]",d
2499,"[1, 4389, 63, 97]",d
2500,"[2, 3253, 43, 4]",a
2501,"[1, 787, 29, 32]",a
2502,"[1, 4183, 89, 81]",d
2503,"[2, 5210, 50, 50]",a
2504,"[2, 19, 63, 93]",c
2505,"[1, 1532, 82, 20]",d
2506,"[0, 1587, 12, 61]",b
2507,"[2, 6792, 47, 66]",c
2508,"[2, 56, 52, 71]",b
2509,"[1, 2350, 49, 91]",c
2510,"[2, 4959, 27, 84]",a
2511,"[0, 6097, 67, 56]",d
2512,"[1, 331, 96, 63]",b
2513,"[2, 6331, 13, 53]",d
2514,"[0, 6895, 79, 61]",d
2515,"[2, 3563, 24, 19]",b
2516,"[2, 2958, 72, 24]",c
2517,"[2, 5458, 35, 63]",c
2518,"[1, 5647, 78, 81]",b
2519,"[1, 6701, 42, 65]",b
2520,"[0, 1984, 14, 49]",b
2521,"[1, 1443, 79, 72]",a
2522,"[1, 4747, 47, 52]",d
2523,"[0, 3623, 59, 82]",a
2524,"[2, 5080, 78, 94]",d
2525,"[1, 2552, 70, 63]",a
2526,"[1, 5235, 66, 62]",d
2527,"[0, 7046, 43, 36]",b
2528,"[2, 7130, 16, 83]",d
2529,"[0, 6534, 100, 55]",a
2530,"[0, 4482, 27, 17]",a
2531,"[2, 7009, 85, 84]",b
2532,"[1, 6089, 77, 60]",b
2533,"[2, 5603, 95, 23]",b
2534,"[2, 6083, 11, 59]",d
2535,"[2, 3448, 22, 78]",c
2536,"[1, 3926, 79, 13]",a
2537,"[0, 4943, 82, 3]",d
2538,"[0, 4664, 49, 44]",d
2539,"[2, 5904, 59, 86]",c
2540,"[1, 7115, 35, 27]",a
2541,"[1, 1888, 98, 24]",c
2542,"[2, 6268, 18, 7]",a
2543,"[2, 3339, 94, 73]",c
2544,"[1, 31, 79, 83]",c
2545,"[1, 857, 0, 15]",c
2546,"[1, 722, 99, 1]",a
2547,"[0, 3567, 68, 37]",a
2548,"[1, 4348, 0, 61]",b
2549,"[1, 3027, 62, 1]",a
2550,"[2, 6688, 27, 53]",a
2551,"[0, 837, 23, 88]",d
2552,"[2, 6590, 80, 57]",d
2553,"[2, 1912, 95, 4]",d
2554,"[0, 3657, 54, 21]",b
2555,"[2, 5022, 90, 34]",d
2556,"[0, 5635, 44, 76]",b
2557,"[1, 2433, 24, 78]",d
2558,"[1, 5340, 41, 45]",d
2559,"[0, 6237, 11, 19]",d
2560,"[1, 2070, 54, 62]",b
2561,"[1, 3062, 70, 87]",b
2562,"[1, 37, 61, 40]",c
2563,"[0, 6322, 46, 94]",d
2564,"[1, 5773, 44, 25]",d
2565,"[0, 485, 59, 29]",a
2566,"[2, 301, 19, 17]",a
2567,"[2, 5461, 37, 38]",c
2568,"[1, 2967, 79, 14]",c
2569,"[1, 1617, 18, 22]",c
2570,"[1, 6951, 57, 69]",a
2571,"[1, 1972, 77, 71]",d
2572,"[1, 1669, 96, 89]",b
2573,"[1, 2878, 66, 1]",c
2574,"[1, 2043, 68, 66]",a
2575,"[0, 4595, 34, 17]",c
2576,"[0, 5955, 59, 78]",c
2577,"[2, 7066, 88, 60]",b
2578,"[1, 27, 0, 20]",b
2579,"[1, 1339, 31, 36]",c
2580,"[2, 4018, 48, 76]",a
2581,"[0, 57, 64, 15]",d
2582,"[2, 6758, 6, 44]",c
2583,"[2, 932, 64, 89]",b
2584,"[0, 4230, 35, 97]",d
2585,"[1, 5430, 65, 78]",d
2586,"[0, 528, 56, 20]",c
2587,"[2, 3835, 74, 61]",a
2588,"[2, 4435, 69, 46]",d
2589,"[0, 4773, 13, 63]",b
2590,"[0, 1151, 15, 90]",b
2591,"[2, 3564, 42, 34]",d
2592,"[1, 2128, 99, 55]",c
2593,"[0, 6616, 14, 48]",c
2594,"[1, 2996, 67, 2]",a
2595,"[2, 1581, 46, 83]",d
2596,"[2, 2738, 40, 53]",c
2597,"[0, 688, 24, 66]",a
2598,"[0, 3485, 44, 75]",d
2599,"[2, 5848, 87, 28]",d
2600,"[0, 856, 91, 94]",d
2601,"[1, 5485, 44, 68]",b
2602,"[0, 5987, 17, 70]",b
2603,"[0, 5515, 86, 64]",d
2604,"[2, 7186, 48, 29]",b
2605,"[0, 4138, 20, 78]",b
2606,"[2, 3794, 81, 64]",d
2607,"[1, 4942, 83, 73]",a
2608,"[0, 6779, 92, 33]",a
2609,"[1, 140, 15, 49]",a
2610,"[0, 2871, 52, 96]",c
2611,"[1, 4117, 31, 26]",a
2612,"[2, 6438, 83, 6]",c
2613,"[0, 2317, 21, 40]",d
2614,"[2, 5084, 32, 52]",d
2615,"[2, 4968, 22, 24]",a
2616,"[0, 1976, 22, 84]",b
2617,"[0, 1422, 89, 31]",d
2618,"[0, 340, 13, 97]",c
2619,"[0, 4948, 44, 66]",a
2620,"[0, 6925, 94, 93]",b
2621,"[0, 848, 7, 44]",c
2622,"[0, 792, 60, 81]",b
2623,"[2, 4623, 100, 71]",b
2624,"[1, 886, 58, 8]",c
2625,"[2, 6227, 33, 68]",d
2626,"[1, 5963, 91, 91]",b
2627,"[2, 5833, 45, 3]",a
2628,"[1, 2590, 86, 82]",d
2629,"[1, 6067, 65, 84]",d
2630,"[0, 106, 24, 60]",c
2631,"[1, 1884, 41, 48]",c
2632,"[0, 6061, 57, 12]",d
2633,"[0, 1165, 34, 66]",c
2634,"[1, 6084, 89, 31]",c
2635,"[2, 1026, 86, 33]",d
2636,"[2, 5909, 63, 4]",a
2637,"[0, 4357, 50, 77]",a
2638,"[1, 3212, 96, 96]",a
2639,"[0, 6520, 53, 13]",d
2640,"[0, 2684, 76, 76]",a
2641,"[0, 435, 67, 46]",b
2642,"[0, 3351, 38, 10]",d
2643,"[1, 5628, 68, 100]",b
2644,"[1, 6687, 100, 17]",d
2645,"[0, 1188, 40, 43]",a
2646,"[1, 5, 64, 2]",a
2647,"[0, 6195, 95, 97]",b
2648,"[2, 641, 84, 21]",a
2649,"[0, 4489, 53, 73]",b
2650,"[1, 5353, 73, 18]",c
2651,"[2, 3182, 20, 64]",b
2652,"[0, 4377, 27, 15]",a
2653,"[1, 2833, 47, 49]",d
2654,"[1, 1178, 61, 98]",a
2655,"[0, 6831, 0, 5]",d
2656,"[2, 4525, 84, 13]",a
2657,"[1, 2958, 22, 22]",a
2658,"[0, 3228, 44, 62]",a
2659,"[1, 6098, 96, 12]",a
2660,"[2, 4671, 38, 81]",d
2661,"[2, 6325, 21, 22]",c
2662,"[0, 294, 27, 44]",b
2663,"[2, 1305, 88, 84]",b
2664,"[1, 3271, 29, 8]",d
2665,"[2, 432, 71, 58]",d
2666,"[2, 5177, 55, 72]",c
2667,"[1, 10, 42, 22]",b
2668,"[0, 2347, 82, 11]",d
2669,"[0, 4480, 25, 68]",b
2670,"[1, 77, 47, 73]",a
2671,"[1, 5805, 82, 8]",b
2672,"[2, 307, 63, 74]",b
2673,"[2, 4251, 25, 67]",b
2674,"[0, 5430, 20, 53]",d
2675,"[1, 94, 30, 23]",b
2676,"[2, 6071, 0, 58]",c
2677,"[1, 6988, 61, 51]",d
2678,"[1, 6932, 59, 83]",a
2679,"[2, 3345, 91, 9]",b
2680,"[1, 6817, 68, 70]",c
2681,"[0, 4401, 19, 7]",b
2682,"[1, 6541, 2, 9]",a
2683,"[0, 946, 80, 53]",a
2684,"[1, 5061, 82, 26]",b
2685,"[1, 3608, 57, 75]",a
2686,"[2, 115, 8, 78]",b
2687,"[0, 1012, 4, 24]",b
2688,"[0, 6219, 72, 52]",a
2689,"[0, 3654, 43, 12]",a
2690,"[1, 2252, 53, 12]",b
2691,"[1, 2515, 50, 39]",d
2692,"[2, 1761, 28, 89]",a
2693,"[0, 4283, 90, 30]",c
2694,"[0, 3447, 26, 69]",c
2695,"[0, 699, 81, 55]",c
2696,"[1, 2501, 94, 13]",b
2697,"[2, 414, 5, 60]",b
2698,"[2, 5052, 17, 60]",b
2699,"[0, 1182, 98, 83]",b
2700,"[0, 6224, 38, 66]",b
2701,"[1, 1781, 88, 23]",d
2702,"[2, 5137, 67, 64]",d
2703,"[0, 1032, 54, 8]",c
2704,"[1, 1925, 71, 9]",c
2705,"[2, 6961, 71, 69]",c
2706,"[2, 4192, 71, 60]",a
2707,"[1, 2166, 39, 36]",c
2708,"[2, 4877, 94, 0]",b
2709,"[0, 6109, 65, 8]",c
2710,"[1, 5266, 38, 38]",c
2711,"[0, 2599, 57, 70]",c
2712,"[2, 2393, 40, 94]",b
2713,"[2, 4215, 33, 83]",b
2714,"[1, 2215, 71, 25]",c
2715,"[1, 2119, 21, 25]",c
2716,"[0, 120, 11, 33]",c
2717,"[2, 6321, 14, 40]",d
2718,"[2, 6883, 63, 14]",a
2719,"[2, 4911, 98, 19]",a
2720,"[0, 4724, 55, 18]",c
2721,"[2, 2506, 64, 40]",b
2722,"[1, 1952, 49, 18]",b
2723,"[0, 3534, 24, 94]",b
2724,"[1, 623, 70, 53]",b
2725,"[1, 6295, 88, 19]",b
2726,"[1, 3257, 42, 53]",c
2727,"[1, 4434, 7, 34]",a
2728,"[2, 3489, 18, 66]",d
2729,"[1, 7162, 21, 6]",a
2730,"[0, 1525, 60, 27]",d
2731,"[0, 630, 94, 4]",a
2732,"[1, 6487, 84, 25]",d
2733,"[0, 5177, 50, 70]",c
2734,"[2, 891, 90, 94]",d
2735,"[2, 1973, 59, 48]",a
2736,"[2, 806, 100, 9]",c
2737,"[2, 648, 10, 50]",c
2738,"[1, 2829, 48, 90]",a
2739,"[1, 560, 1, 20]",b
2740,"[0, 2678, 73, 50]",a
2741,"[0, 498, 85, 97]",c
2742,"[2, 311, 77, 77]",a
2743,"[0, 7014, 64, 19]",c
2744,"[1, 6823, 21, 41]",b
2745,"[0, 3117, 30, 38]",a
2746,"[0, 6997, 51, 68]",c
2747,"[1, 4406, 20, 68]",c
2748,"[0, 2449, 10, 41]",c
2749,"[2, 3095, 59, 62]",a
2750,"[1, 3665, 38, 72]",d
2751,"[2, 1433, 10, 11]",b
2752,"[0, 5550, 99, 22]",d
2753,"[1, 5979, 47, 65]",b
2754,"[0, 3998, 94, 59]",a
2755,"[2, 1105, 50, 84]",b
2756,"[1, 4455, 72, 69]",b
2757,"[0, 3315, 90, 98]",d
2758,"[1, 1543, 82, 81]",b
2759,"[2, 857, 57, 74]",a
2760,"[1, 2165, 35, 78]",d
2761,"[0, 1787, 49, 68]",c
2762,"[0, 2292, 13, 71]",d
2763,"[1, 5819, 41, 14]",a
2764,"[1, 1609, 31, 75]",a
2765,"[1, 1513, 28, 91]",d
2766,"[1, 2832, 62, 84]",d
2767,"[0, 6862, 5, 10]",c
2768,"[2, 5953, 14, 34]",a
2769,"[2, 3471, 61, 14]",b
2770,"[0, 1797, 16, 77]",c
2771,"[1, 3081, 9, 32]",d
2772,"[1, 1499, 0, 0]",b
2773,"[0, 3986, 100, 96]",c
2774,"[2, 3792, 56, 32]",d
2775,"[2, 3197, 100, 82]",a
2776,"[0, 1672, 76, 57]",d
2777,"[2, 6575, 22, 48]",a
2778,"[1, 4985, 94, 65]",a
2779,"[2, 2618, 88, 47]",a
2780,"[2, 999, 98, 95]",c
2781,"[0, 4792, 55, 75]",a
2782,"[2, 3630, 67, 51]",b
2783,"[1, 2699, 37, 39]",d
2784,"[0, 5550, 78, 13]",a
2785,"[0, 3172, 22, 53]",b
2786,"[0, 2318, 63, 0]",c
2787,"[1, 5719, 43, 35]",c
2788,"[1, 4475, 56, 31]",b
2789,"[0, 4723, 71, 56]",d
2790,"[2, 5403, 18, 74]",a
2791,"[0, 2635, 38, 71]",a
2792,"[1, 1199, 94, 24]",d
2793,"[0, 1279, 68, 65]",c
2794,"[2, 5275, 98, 60]",c
2795,"[0, 6129, 63, 43]",a
2796,"[1, 3054, 59, 99]",a
2797,"[0, 2242, 98, 88]",a
2798,"[2, 5448, 74, 41]",b
2799,"[1, 5316, 17, 27]",b
2800,"[0, 3458, 36, 19]",c
2801,"[0, 3712, 25, 46]",d
2802,"[0, 4658, 62, 14]",c
2803,"[0, 4367, 26, 87]",c
2804,"[0, 5234, 36, 82]",a
2805,"[0, 3191, 82, 96]",a
2806,"[2, 3024, 80, 66]",b
2807,"[2, 1315, 42, 54]",d
2808,"[2, 1462, 14, 71]",a
2809,"[2, 1961, 89, 56]",c
2810,"[2, 2212, 83, 95]",d
2811,"[1, 5348, 76, 70]",d
2812,"[2, 6640, 16, 24]",d
2813,"[1, 3062, 49, 41]",d
2814,"[1, 1141, 21, 5]",d
2815,"[0, 3654, 77, 42]",c
2816,"[0, 230, 26, 70]",b
2817,"[2, 6621, 57, 68]",c
2818,"[1, 4601, 67, 57]",a
2819,"[0, 3610, 81, 73]",b
2820,"[0, 1192, 3, 62]",a
2821,"[0, 7006, 98, 48]",a
2822,"[0, 2892, 21, 55]",c
2823,"[2, 3221, 95, 51]",b
2824,"[1, 4357, 57, 4]",b
2825,"[1, 25, 61, 59]",b
2826,"[1, 4099, 19, 40]",b
2827,"[1, 1037, 37, 68]",b
2828,"[1, 6599, 19, 94]",b
2829,"[0, 5101, 8, 17]",d
2830,"[0, 802, 3, 100]",d
2831,"[1, 3871, 38, 16]",a
2832,"[1, 4954, 49, 35]",d
2833,"[0, 6977, 91, 89]",d
2834,"[0, 2807, 0, 45]",a
2835,"[1, 6047, 79, 96]",b
2836,"[1, 7057, 90, 49]",b
2837,"[1, 5657, 95, 9]",a
2838,"[0, 7094, 97, 55]",c
2839,"[2, 4989, 24, 86]",a
2840,"[1, 324, 89, 23]",b
2841,"[0, 657, 86, 31]",a
2842,"[2, 4597, 53, 10]",d
2843,"[2, 2638, 33, 77]",c
2844,"[2, 1942, 2, 75]",a
2845,"[2, 1370, 81, 3]",a
2846,"[0, 2976, 37, 64]",d
2847,"[1, 5675, 26, 71]",a
2848,"[2, 5117, 33, 57]",d
2849,"[1, 2612, 52, 56]",c
2850,"[0, 3385, 7, 49]",a
2851,"[0, 4685, 53, 55]",a
2852,"[2, 5598, 41, 19]",a
2853,"[1, 1203, 7, 23]",a
2854,"[0, 4823, 32, 31]",c
2855,"[1, 2123, 61, 74]",d
2856,"[1, 4036, 73, 55]",c
2857,"[1, 5646, 95, 18]",c
2858,"[0, 562, 64, 40]",c
2859,"[2, 5360, 40, 32]",b
2860,"[1, 3274, 83, 67]",d
2861,"[0, 4437, 27, 43]",c
2862,"[0, 6778, 17, 17]",d
2863,"[1, 5912, 77, 55]",b
2864,"[0, 3826, 14, 14]",c
2865,"[2, 2961, 62, 50]",b
2866,"[1, 1601, 78, 52]",d
2867,"[2, 5276, 1, 63]",b
2868,"[2, 7048, 87, 76]",b
2869,"[1, 4855, 28, 91]",a
2870,"[2, 5646, 62, 20]",c
2871,"[0, 3904, 98, 12]",b
2872,"[0, 4607, 32, 36]",d
2873,"[1, 6281, 3, 89]",a
2874,"[1, 5473, 45, 27]",a
2875,"[2, 5183, 54, 50]",a
2876,"[2, 2849, 98, 67]",a
2877,"[0, 5411, 12, 75]",b
2878,"[1, 4673, 85, 53]",d
2879,"[0, 192, 79, 98]",b
2880,"[2, 5394, 40, 61]",c
2881,"[1, 1930, 90, 69]",c
2882,"[2, 3560, 62, 84]",c
2883,"[0, 5796, 11, 100]",d
2884,"[1, 3208, 67, 79]",b
2885,"[0, 6817, 45, 36]",c
2886,"[1, 2023, 75, 26]",a
2887,"[0, 6401, 54, 48]",d
2888,"[0, 3685, 92, 8]",c
2889,"[1, 4566, 15, 84]",c
2890,"[2, 1980, 21, 99]",d
2891,"[1, 6214, 81, 58]",a
2892,"[0, 3257, 77, 43]",a
2893,"[1, 4194, 45, 6]",b
2894,"[1, 2654, 84, 91]",c
2895,"[1, 5985, 8, 85]",c
2896,"[1, 5517, 95, 17]",c
2897,"[2, 6529, 18, 75]",b
2898,"[2, 5065, 13, 40]",a
2899,"[1, 5235, 28, 56]",c
2900,"[1, 2175, 30, 84]",b
2901,"[2, 3843, 0, 40]",b
2902,"[1, 2020, 22, 99]",a
2903,"[0, 3810, 29, 26]",c
2904,"[1, 3162, 70, 70]",c
2905,"[1, 5841, 59, 10]",c
2906,"[2, 3215, 87, 93]",d
2907,"[2, 7020, 4, 99]",a
2908,"[2, 435, 45, 85]",b
2909,"[1, 373, 38, 72]",a
2910,"[1, 4460, 9, 51]",c
2911,"[1, 672, 18, 13]",d
2912,"[0, 2541, 51, 61]",c
2913,"[1, 6081, 7, 76]",a
2914,"[1, 4261, 6, 84]",d
2915,"[0, 5389, 74, 55]",b
2916,"[0, 6067, 62, 26]",d
2917,"[1, 2882, 75, 13]",a
2918,"[1, 7050, 20, 9]",a
2919,"[1, 2521, 99, 29]",b
2920,"[1, 270, 71, 39]",d
2921,"[0, 6934, 24, 50]",c
2922,"[1, 4678, 51, 72]",c
2923,"[0, 4502, 80, 33]",b
2924,"[0, 2684, 16, 22]",b
2925,"[1, 3644, 65, 42]",b
2926,"[2, 3116, 7, 14]",d
2927,"[2, 462, 1, 59]",d
2928,"[0, 5248, 29, 88]",c
2929,"[1, 1008, 20, 74]",d
2930,"[0, 4975, 24, 35]",b
2931,"[0, 4734, 99, 59]",d
2932,"[2, 1880, 58, 21]",d
2933,"[0, 4252, 27, 67]",b
2934,"[1, 2440, 14, 88]",c
2935,"[0, 5501, 31, 96]",d
2936,"[0, 3254, 26, 13]",c
2937,"[2, 5410, 4, 30]",b
2938,"[1, 936, 22, 74]",d
2939,"[0, 4156, 74, 59]",b
2940,"[0, 1332, 6, 7]",a
2941,"[1, 3455, 22, 22]",d
2942,"[0, 2230, 56, 65]",d
2943,"[2, 2809, 79, 37]",c
2944,"[1, 2804, 53, 32]",b
2945,"[1, 657, 34, 6]",d
2946,"[1, 6859, 90, 3]",d
2947,"[0, 6043, 44, 13]",d
2948,"[1, 111, 24, 58]",d
2949,"[2, 4749, 56, 92]",a
2950,"[2, 314, 19, 5]",c
2951,"[0, 2847, 85, 87]",b
2952,"[0, 2717, 90, 17]",d
2953,"[0, 7112, 41, 49]",d
2954,"[2, 1878, 100, 97]",d
2955,"[0, 6096, 43, 93]",c
2956,"[2, 984, 9, 43]",b
2957,"[1, 4264, 37, 74]",d
2958,"[0, 6726, 10, 4]",b
2959,"[1, 959, 89, 89]",c
2960,"[0, 4171, 3, 45]",a
2961,"[0, 3302, 35, 37]",b
2962,"[2, 7013, 66, 34]",d
2963,"[0, 6563, 34, 10]",a
2964,"[1, 5646, 98, 20]",a
2965,"[1, 6932, 68, 90]",b
2966,"[2, 3484, 89, 68]",c
2967,"[2, 386, 17, 11]",d
2968,"[1, 2345, 77, 53]",d
2969,"[0, 1367, 95, 62]",a
2970,"[0, 5402, 85, 37]",c
2971,"[2, 235, 23, 39]",a
2972,"[2, 3226, 4, 43]",b
2973,"[1, 1430, 53, 61]",c
2974,"[2, 4265, 100, 4]",c
2975,"[1, 5576, 44, 56]",c
2976,"[1, 4053, 74, 16]",c
2977,"[1, 3514, 98, 63]",b
2978,"[2, 5689, 58, 24]",d
2979,"[1, 5261, 35, 7]",a
2980,"[0, 3839, 61, 61]",d
2981,"[0, 1091, 68, 70]",b
2982,"[1, 1083, 4, 25]",b
2983,"[0, 5042, 19, 76]",c
2984,"[1, 2964, 84, 3]",b
2985,"[0, 4801, 11, 2]",c
2986,"[1, 4630, 78, 81]",a
2987,"[1, 675, 62, 54]",a
2988,"[2, 2822, 5, 86]",d
2989,"[0, 4478, 17, 33]",a
2990,"[1, 3116, 12, 47]",b
2991,"[2, 3781, 68, 4]",a
2992,"[1, 6612, 30, 97]",c
2993,"[2, 1077, 10, 80]",d
2994,"[2, 5195, 21, 49]",b
2995,"[0, 4258, 82, 12]",a
2996,"[2, 3011, 5, 19]",a
2997,"[2, 6462, 2, 66]",c
2998,"[2, 4619, 71, 43]",d
2999,"[0, 1263, 11, 67]",b
3000,"[1, 4498, 64, 100]",a
3001,"[1, 5937, 41, 16]",b
3002,"[2, 4777, 55, 67]",d
3003,"[0, 6921, 30, 15]",b
3004,"[0, 1643, 99, 12]",b
3005,"[1, 4086, 31, 56]",d
3006,"[0, 4983, 55, 60]",d
3007,"[0, 3235, 85, 17]",b
3008,"[0, 658, 42, 29]",b
3009,"[1, 2055, 26, 45]",b
3010,"[1, 1517, 19, 15]",d
3011,"[0, 2109, 8, 0]",d
3012,"[1, 2420, 38, 26]",a
3013,"[0, 3976, 47, 57]",c
3014,"[0, 6729, 34, 75]",d
3015,"[0, 6346, 91, 7]",d
3016,"[0, 1217, 13, 98]",a
3017,"[0, 5678, 79, 43]",a
3018,"[1, 4781, 61, 87]",b
3019,"[2, 4331, 82, 27]",b
3020,"[0, 2149, 50, 49]",c
3021,"[1, 5042, 81, 0]",a
3022,"[2, 3409, 57, 5]",d
3023,"[2, 2717, 24, 31]",d
3024,"[0, 3509, 43, 97]",b
3025,"[0, 3833, 81, 40]",a
3026,"[0, 2328, 83, 66]",a
3027,"[1, 4294, 100, 72]",c
3028,"[0, 4177, 56, 66]",d
3029,"[0, 3208, 88, 39]",d
3030,"[2, 1618, 44, 81]",b
3031,"[2, 6349, 84, 85]",a
3032,"[0, 4134, 73, 10]",c
3033,"[1, 1716, 91, 38]",d
3034,"[2, 846, 94, 48]",d
3035,"[1, 1774, 76, 79]",b
3036,"[1, 6925, 31, 8]",b
3037,"[0, 6784, 89, 53]",b
3038,"[1, 540, 69, 51]",c
3039,"[0, 6120, 91, 21]",b
3040,"[2, 2455, 89, 87]",a
3041,"[2, 2277, 29, 85]",c
3042,"[2, 3376, 87, 86]",d
3043,"[0, 593, 48, 87]",c
3044,"[0, 5856, 68, 66]",d
3045,"[2, 4755, 11, 98]",d
3046,"[0, 4888, 72, 39]",a
3047,"[0, 6433, 14, 54]",b
3048,"[0, 6929, 89, 3]",b
3049,"[1, 198, 9, 7]",d
3050,"[1, 5149, 27, 74]",c
3051,"[1, 4555, 70, 19]",d
3052,"[2, 242, 39, 75]",b
3053,"[1, 5881, 67, 53]",d
3054,"[1, 5090, 96, 44]",c
3055,"[1, 4503, 96, 88]",d
3056,"[1, 2901, 51, 65]",d
3057,"[1, 6409, 2, 48]",a
3058,"[2, 6222, 83, 98]",a
3059,"[2, 5334, 83, 31]",c
3060,"[1, 616, 52, 75]",d
3061,"[2, 1712, 77, 51]",a
3062,"[0, 2922, 26, 80]",a
3063,"[2, 4577, 29, 62]",d
3064,"[0, 3423, 20, 32]",d
3065,"[2, 3447, 86, 62]",d
3066,"[0, 1992, 10, 20]",c
3067,"[2, 76, 88, 71]",b
3068,"[1, 6613, 49, 57]",c
3069,"[0, 588, 1, 68]",b
3070,"[2, 5943, 31, 12]",a
3071,"[2, 5487, 1, 4]",b
3072,"[0, 502, 5, 45]",d
3073,"[2, 6100, 32, 48]",b
3074,"[1, 4402, 82, 15]",b
3075,"[1, 4580, 93, 9]",b
3076,"[2, 4687, 88, 70]",a
3077,"[1, 5425, 25, 48]",d
3078,"[0, 5849, 82, 95]",c
3079,"[2, 4109, 55, 38]",b
3080,"[1, 5455, 37, 49]",c
3081,"[0, 2679, 92, 38]",a
3082,"[2, 4610, 10, 89]",a
3083,"[2, 558, 55, 64]",a
3084,"[2, 4115, 80, 19]",c
3085,"[2, 6174, 37, 90]",d
3086,"[1, 6458, 69, 100]",b
3087,"[0, 4919, 37, 46]",c
3088,"[0, 2634, 0, 26]",c
3089,"[2, 2227, 94, 79]",c
3090,"[1, 2825, 97, 21]",a
3091,"[2, 1315, 22, 9]",b
